Rank,Time,Name,Code,Date of Birth,Place,City,Date,Gender,Event
1,01:40.9,David Rudisha,KEN,17/12/1988,1,London,08/09/2012,Men,800 m
2,01:41.0,David Rudisha,KEN,17/12/1988,1,Rieti,29/08/2010,Men,800 m
3,01:41.1,David Rudisha,KEN,17/12/1988,1,Berlin,22/08/2010,Men,800 m
4,01:41.1,Wilson Kipketer,DEN,12/12/1970,1,Köln,24/08/1997,Men,800 m
5,01:41.2,Wilson Kipketer,DEN,12/12/1970,1,Zürich,13/08/1997,Men,800 m
6,01:41.3,David Rudisha,KEN,17/12/1988,1,Rieti,09/10/2011,Men,800 m
7,01:41.5,David Rudisha,KEN,17/12/1988,1,Heusden-Zolder,07/10/2010,Men,800 m
8,01:41.5,David Rudisha,KEN,17/12/1988,1,Saint-Denis,07/06/2012,Men,800 m
9,01:41.7,Sebastian Coe,GBR,29/09/1956,1,Firenze,06/10/1981,Men,800 m
9,01:41.7,Wilson Kipketer,DEN,12/12/1970,1,Stockholm,07/07/1997,Men,800 m
9,01:41.7,Nijel Amos,BOT,15/03/1994,2,London,08/09/2012,Men,800 m
12,01:41.7,David Rudisha,KEN,17/12/1988,1,New York City,06/09/2012,Men,800 m
13,01:41.8,Joaquim Cruz,BRA,12/03/1963,1,Köln,26/08/1984,Men,800 m
14,01:41.8,Wilson Kipketer,DEN,12/12/1970,1,Rieti,09/01/1996,Men,800 m
15,01:42.0,David Rudisha,KEN,17/12/1988,1,Rieti,09/06/2009,Men,800 m
16,01:42.0,David Rudisha,KEN,17/12/1988,1,Oslo,06/04/2010,Men,800 m
17,01:42.1,David Rudisha,KEN,17/12/1988,1,Nairobi,23/06/2012,Men,800 m
18,01:42.2,David Rudisha,KEN,17/12/1988,1,Rio de Janeiro,15/08/2016,Men,800 m
19,01:42.2,Wilson Kipketer,DEN,12/12/1970,1,Tokyo,16/09/1996,Men,800 m
20,01:42.2,Wilson Kipketer,DEN,12/12/1970,1,Bruxelles,22/08/1997,Men,800 m
21,01:42.2,Abubaker Kaki Khamis,SUD,21/06/1989,2,Oslo,06/04/2010,Men,800 m
22,01:42.3,Wilson Kipketer,DEN,12/12/1970,1,Bruxelles,09/03/1999,Men,800 m
23,01:42.3,Sammy Koskei,KEN,14/05/1961,2,Köln,26/08/1984,Men,800 m
24,01:42.3,Wilson Kipketer,DEN,12/12/1970,1,Rieti,09/08/2002,Men,800 m
25,01:42.3,Sebastian Coe,GBR,29/09/1956,1,Oslo,07/05/1979,Men,800 m
26,01:42.3,Joaquim Cruz,BRA,12/03/1963,1,Zürich,22/08/1984,Men,800 m
26,01:42.3,Wilfred Bungei,KEN,24/07/1980,2,Rieti,09/08/2002,Men,800 m
28,01:42.4,Mohammed Aman,ETH,10/01/1994,1,Bruxelles,09/06/2013,Men,800 m
29,01:42.4,Joaquim Cruz,BRA,12/03/1963,1,Bruxelles,24/08/1984,Men,800 m
30,01:42.4,Nijel Amos,BOT,15/03/1994,1,Monaco,18/07/2014,Men,800 m
31,01:42.5,Yuriy Borzakovskiy,RUS,12/04/1981,1,Bruxelles,24/08/2001,Men,800 m
32,01:42.5,Joaquim Cruz,BRA,12/03/1963,1,Koblenz,28/08/1985,Men,800 m
33,01:42.5,Wilson Kipketer,DEN,12/12/1970,1,Nice,07/10/1996,Men,800 m
33,01:42.5,Amel Tuka,BIH,09/01/1991,1,Monaco,17/07/2015,Men,800 m
